species_id,growth_rate,sp_001,sp_002,sp_003,sp_004,sp_005,sp_006,sp_007,sp_008,sp_009,sp_010,sp_011,sp_012
sp_001,1.0,-1.0,-0.1927850921735634,0.10101854393796768,-0.011842379658445298,-0.4340758564786453,0.1829356461457291,0.032797791393247046,0.050245013693867635,-0.4103204571271179,-0.18472984347310303,-0.24044138303719315,0.14873549219402124
sp_002,1.0,-0.04929441594353485,-1.0,-0.18961006082086823,-0.3409328947506562,-0.11179064908891566,-0.4553279207270773,0.07934182039480742,-0.057834920614554634,0.030661418059761646,-0.2518318223090922,0.17948861707643224,0.12518478492553833
sp_003,1.0,0.04486844795163327,-0.3637529045036227,-1.0,-0.4693373639489399,-0.39199735555271653,-0.021865732730281792,0.02133350913547196,0.17725681270394697,-0.2719222493032937,-0.2406782057755918,-0.1713109321069345,-0.36737004864100004
sp_004,1.0,-0.40905494626516986,-0.1670065516418464,-0.3411634556643811,-1.0,-0.1939936567893685,0.08287473724048618,-0.00981442859842565,-0.28134335103257124,0.0825818609766407,0.06333505024776127,-0.2287651346788779,-0.29817032724882914
sp_005,1.0,-0.022253147217517186,-0.40217326147348315,-0.36006425826742416,-0.4948464111742961,-1.0,-0.034604400385577536,-0.006384234961565458,0.04651032171537749,-0.17875895712316206,-0.10188116283297441,-0.4021421013106398,-0.4198289485248186
sp_006,1.0,-0.03211792674666988,-0.17023265569980725,-0.10433472546316784,0.03549920019121787,-0.055697175999586464,-1.0,-0.10855498747821055,-0.28723493135617145,-0.4784275158024424,-0.19429782753734637,-0.34979072902632957,-0.21402994939275471
sp_007,1.0,0.09738215128771624,-0.3362423598942615,-0.4591880808176538,-0.3030312755846024,-0.29448436956332147,-0.03665843969117349,-1.0,0.048728746374489415,-0.03498052177082875,-0.21552919699195064,0.06981426926622422,-0.3831189560646073
sp_008,1.0,-0.4841015488062977,-0.4369664974570508,0.00565154541751517,-0.17668593882402886,-0.38710975467647873,-0.14926865742764556,-0.39338152810078214,-1.0,-0.18769060709817853,-0.2332851417324623,-0.28894153759648644,-0.05880218481677811
sp_009,1.0,-0.24673117261262673,-0.4386450564787293,-0.41739586851563926,0.17332836518466013,0.1360064834953249,-0.01020500633247534,-0.3138910269783363,0.17842346414340668,-1.0,0.001823132411296892,-0.18544694849934795,-0.3094309067083887
sp_010,1.0,-0.4325263264925505,0.13182167758068913,-0.18095659711647227,-0.3583456446433388,-0.28583036309454324,-0.09454630174067284,-0.37625905194253784,0.09962999886466281,0.03096367088464703,-1.0,-0.1975348721574274,-0.060883811508289795
sp_011,1.0,-0.09113142176108512,-0.045107378911626035,-0.44088897520207765,-0.20893481848057327,-0.47087007829667527,-0.15420642652883676,-0.2690971513670503,-0.3988330677937672,-0.42761792259421383,-0.0886487994756016,-1.0,0.147584082863758
sp_012,1.0,-0.09325720220972354,-0.25719113682561406,-0.08635915596300829,-0.4840372902792118,0.1709914492690117,-0.16238759413996987,0.047914659075200317,-0.442089000054293,-0.15933916841328777,-0.15650510395183537,0.15647851848248795,-1.0
